Program Name,CIP Code,Embed Code,Widget ID,Career Services Link - status,screenshot
Doctor of Psychology,52.1003,"<!-- Psychology -->
  <iframe onload=""initializeScripts('program-widget-1b6be5', 'https://widget.lightcastcc.com')"" id=""program-widget-1b6be5"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc077&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Doctor%20of%20Psychology%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Sociology,45.1101,"<!-- Sociology -->
  <iframe onload=""initializeScripts('program-widget-a2ab1e', 'https://widget.lightcastcc.com')"" id=""program-widget-a2ab1e"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc078&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Sociology%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Psychology ,42.0101,"<!-- Psychology -->
  <iframe onload=""initializeScripts('program-widget-7e32d6', 'https://widget.lightcastcc.com')"" id=""program-widget-7e32d6"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc079&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Psychology%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Arts in Special Education,13.1001,"<!-- Special Education -->
  <iframe onload=""initializeScripts('program-widget-c520a8', 'https://widget.lightcastcc.com')"" id=""program-widget-c520a8"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc023&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Arts%20in%20Special%20Education%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Doctor of Philosophy in Human Services,44,"<!-- Philosophy in Human Services -->
  <iframe onload=""initializeScripts('program-widget-2cf516', 'https://widget.lightcastcc.com')"" id=""program-widget-2cf516"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc081&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Doctor%20of%20Philosophy%20in%20Human%20Services%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Science in Health Informatics & Analytics,51.2706,"<!-- Health Informatics & Analytics -->
  <iframe onload=""initializeScripts('program-widget-a01d00', 'https://widget.lightcastcc.com')"" id=""program-widget-a01d00"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc033&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Science%20in%20Health%20Informatics%20%26%20Analytics%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BS in Health Information Management,51.0706,"<!-- Health Information Management -->
  <iframe onload=""initializeScripts('program-widget-8e4f4c', 'https://widget.lightcastcc.com')"" id=""program-widget-8e4f4c"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc083&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BS%20in%20Health%20Information%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Social and Criminal Justice,43.0104,"<!-- Social and Criminal Justice -->
  <iframe onload=""initializeScripts('program-widget-84cdd7', 'https://widget.lightcastcc.com')"" id=""program-widget-84cdd7"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc084&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Social%20and%20Criminal%20Justice%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Arts in Health Care Administration,51.0701,"<!-- Health Care Administration -->
  <iframe onload=""initializeScripts('program-widget-9aebb3', 'https://widget.lightcastcc.com')"" id=""program-widget-9aebb3"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc102&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Arts%20in%20Health%20Care%20Administration%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Health Care Administration,51.0701,"<!-- Health Care Administration -->
  <iframe onload=""initializeScripts('program-widget-9aebb3', 'https://widget.lightcastcc.com')"" id=""program-widget-9aebb3"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc102&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Health%20Care%20Administration%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Public Health,52.2201,"<!-- Public Health -->
  <iframe onload=""initializeScripts('program-widget-81ef53', 'https://widget.lightcastcc.com')"" id=""program-widget-81ef53"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc087&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Public%20Health%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Science in Finance (III),52.0801,"<!-- Science in Finance (III) -->
  <iframe onload=""initializeScripts('program-widget-44cc13', 'https://widget.lightcastcc.com')"" id=""program-widget-44cc13"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc088&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Science%20in%20Finance%20%28III%29%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Bachelor of Arts in Applied Behavorial Science,,"<!-- Applied Behavioral Science -->
  <iframe onload=""initializeScripts('program-widget-a05fd0', 'https://widget.lightcastcc.com')"" id=""program-widget-a05fd0"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc052&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Bachelor%20of%20Arts%20in%20Applied%20Behavorial%20Science%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,x,
BA in Accounting,52.0301,"<!-- Accounting -->
  <iframe onload=""initializeScripts('program-widget-5cd20a', 'https://widget.lightcastcc.com')"" id=""program-widget-5cd20a"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc090&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Accounting%23%20program%20may%20pursue%20the%20following%20careers%3A""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,x,
Master of Information Systems Management,52.1201,"<!-- Master of Information Systems Management (MISM) -->
  <iframe onload=""initializeScripts('program-widget-02aec1', 'https://widget.lightcastcc.com')"" id=""program-widget-02aec1"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc041&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Information%20Systems%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Instructional Design,13.0501,"<!-- Instructional Design -->
  <iframe onload=""initializeScripts('program-widget-481281', 'https://widget.lightcastcc.com')"" id=""program-widget-481281"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc092&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Instructional%20Design%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Business Administration,52.0201,"<!-- Business Administration -->
  <iframe onload=""initializeScripts('program-widget-746d5e', 'https://widget.lightcastcc.com')"" id=""program-widget-746d5e"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc093&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Business%20Administration%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Project Management,52.0211,"<!-- Project Management -->
  <iframe onload=""initializeScripts('program-widget-99543f', 'https://widget.lightcastcc.com')"" id=""program-widget-99543f"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc094&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Project%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Business Information Systems,52.1201,"<!-- Business Information Systems -->
  <iframe onload=""initializeScripts('program-widget-02bc6f', 'https://widget.lightcastcc.com')"" id=""program-widget-02bc6f"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc095&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Business%20Information%20Systems%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BS in Information Technology,11.0103,"<!-- Information Technology -->
  <iframe onload=""initializeScripts('program-widget-37d161', 'https://widget.lightcastcc.com')"" id=""program-widget-37d161"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc096&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BS%20in%20Information%20Technology%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Finance,52.0801,"<!-- Finance -->
  <iframe onload=""initializeScripts('program-widget-9ef985', 'https://widget.lightcastcc.com')"" id=""program-widget-9ef985"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc097&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Finance%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BS in Nursing (RN to BSN),51.3801,"<!-- Nursing (RN to BSN) -->
  <iframe onload=""initializeScripts('program-widget-d3b4de', 'https://widget.lightcastcc.com')"" id=""program-widget-d3b4de"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc098&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BS%20in%20Nursing%20%28RN%20to%20BSN%29%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Human Resources Management,52.1001,"<!-- Human Resources Management -->
  <iframe onload=""initializeScripts('program-widget-a6e888', 'https://widget.lightcastcc.com')"" id=""program-widget-a6e888"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc099&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Human%20Resources%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BS in Cyber & Data Security Technology,11.1003,"<!-- Cyber & Data Security Technology -->
  <iframe onload=""initializeScripts('program-widget-d9fba4', 'https://widget.lightcastcc.com')"" id=""program-widget-d9fba4"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc100&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BS%20in%20Cyber%20%26%20Data%20Security%20Technology%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Science in Instructional Design & Technology,13.0501,"<!-- Instructional Design & Technology -->
  <iframe onload=""initializeScripts('program-widget-09929d', 'https://widget.lightcastcc.com')"" id=""program-widget-09929d"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc022&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Science%20in%20Instructional%20Design%20%26%20Technology%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Arts in Health Care Administration,51.0701,"<!-- Health Care Administration -->
  <iframe onload=""initializeScripts('program-widget-9aebb3', 'https://widget.lightcastcc.com')"" id=""program-widget-9aebb3"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc102&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Arts%20in%20Health%20Care%20Administration%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Science in Technology Management,52.021,"<!-- Science in Technology Management -->
  <iframe onload=""initializeScripts('program-widget-d02884', 'https://widget.lightcastcc.com')"" id=""program-widget-d02884"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc103&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Science%20in%20Technology%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Business Administration,52.0201,"<!-- Business Administration -->
  <iframe onload=""initializeScripts('program-widget-d9327b', 'https://widget.lightcastcc.com')"" id=""program-widget-d9327b"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc104&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Business%20Administration%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Human Resources Management,52.1001,"<!-- Human Resource Management -->
  <iframe onload=""initializeScripts('program-widget-cb8fa4', 'https://widget.lightcastcc.com')"" id=""program-widget-cb8fa4"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc002&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Human%20Resources%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Science in Nursing,,"<!-- Science in Nursing -->
  <iframe onload=""initializeScripts('program-widget-bd70aa', 'https://widget.lightcastcc.com')"" id=""program-widget-bd70aa"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc106&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Science%20in%20Nursing%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Post Bacc Teaching Cert - Elementary Education,13.1202,"<!-- Post Baccalaureate Teaching Certificate -->
  <iframe onload=""initializeScripts('program-widget-aaf6ee', 'https://widget.lightcastcc.com')"" id=""program-widget-aaf6ee"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc020&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Post%20Bacc%20Teaching%20Cert%20-%20Elementary%20Education%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Post Bacc Teaching Cert - Elementary Education,13.1205,,,,
"Arts in Applied Behavorial Science, Bachelor",,"<!-- Arts in Applied Behavorial Science -->
  <iframe onload=""initializeScripts('program-widget-412700', 'https://widget.lightcastcc.com')"" id=""program-widget-412700"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc089&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Arts%20in%20Applied%20Behavorial%20Science%2C%20Bachelor%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
