Program Name,CIP Code,Embed Code,Widget ID,Career Services Link - status,screenshot
BA in Homeland Security and Emergency Management,43.0103,"<!-- Homeland Security and Emergency Management -->
  <iframe onload=""initializeScripts('program-widget-12ac19', 'https://widget.lightcastcc.com')"" id=""program-widget-12ac19"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc064&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Homeland%20Security%20and%20Emergency%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Early Childhood Development with Differentiated Instruction,13.1015,"<!-- Early Childhood Development with Differentiated Instruction -->
  <iframe onload=""initializeScripts('program-widget-8bd0ef', 'https://widget.lightcastcc.com')"" id=""program-widget-8bd0ef"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc065&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Early%20Childhood%20Development%20with%20Differentiated%20Instruction%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Early Childhood Education,13.121,"<!-- Early Childhood Education -->
  <iframe onload=""initializeScripts('program-widget-2fbf56', 'https://widget.lightcastcc.com')"" id=""program-widget-2fbf56"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc066&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Early%20Childhood%20Education%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Early Childhood Education Administration,13.121,"<!-- Early Childhood Education Administration -->
  <iframe onload=""initializeScripts('program-widget-3f7785', 'https://widget.lightcastcc.com')"" id=""program-widget-3f7785"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc067&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Early%20Childhood%20Education%20Administration%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Education Studies,13.0101,"<!-- Education Studies -->
  <iframe onload=""initializeScripts('program-widget-97f3fb', 'https://widget.lightcastcc.com')"" id=""program-widget-97f3fb"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc068&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Education%20Studies%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Business Leadership,52.0213,"<!-- Business Leadership -->
  <iframe onload=""initializeScripts('program-widget-d8cae0', 'https://widget.lightcastcc.com')"" id=""program-widget-d8cae0"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc069&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Business%20Leadership%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Liberal Arts,24.0101,"<!-- Liberal Arts -->
  <iframe onload=""initializeScripts('program-widget-d3a186', 'https://widget.lightcastcc.com')"" id=""program-widget-d3a186"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc070&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Liberal%20Arts%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
AA in Early Childhood Education,13.121,"<!-- Early Childhood Education -->
  <iframe onload=""initializeScripts('program-widget-c593f8', 'https://widget.lightcastcc.com')"" id=""program-widget-c593f8"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc071&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23AA%20in%20Early%20Childhood%20Education%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Health and Human Services,51.1599,"<!-- Health and Human Services -->
  <iframe onload=""initializeScripts('program-widget-245816', 'https://widget.lightcastcc.com')"" id=""program-widget-245816"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc072&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Health%20and%20Human%20Services%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Arts in Education,13.0101,"<!-- Education -->
  <iframe onload=""initializeScripts('program-widget-474321', 'https://widget.lightcastcc.com')"" id=""program-widget-474321"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc024&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Arts%20in%20Education%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Arts in Early Childhood Education Leadership,13.0401,"<!-- Early Childhood Education Leadership -->
  <iframe onload=""initializeScripts('program-widget-6db415', 'https://widget.lightcastcc.com')"" id=""program-widget-6db415"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc025&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Arts%20in%20Early%20Childhood%20Education%20Leadership%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
BA in Organizational Management,52.0299,"<!-- Organizational Management -->
  <iframe onload=""initializeScripts('program-widget-5da5df', 'https://widget.lightcastcc.com')"" id=""program-widget-5da5df"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc075&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23BA%20in%20Organizational%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
Master of Arts in Organizational Management,52.0299,"<!-- Organizational Management -->
  <iframe onload=""initializeScripts('program-widget-b36df5', 'https://widget.lightcastcc.com')"" id=""program-widget-b36df5"" title=""uagc widget"" style=""border: 0; min-width: 100%; width: 1px"" src=""https://widget.lightcastcc.com?hasCareerList=true&hasEmployment=false&hasAllLocations=true&hasImages=false&hasJobOpenings=true&hasNationalData=false&hasOutlook=true&hasSkills=true&hasVisitButton=false&hasWages=true&isHourlyWage=false&labelSet=default&clientId=uagc&locationName=National&orderCareersBy=None&primaryColor=%23ab0520&programs=uagc005&visitButtonColor=%23FFAC23&headingText=Students%20who%20complete%20the%20UAGC%20%23Master%20of%20Arts%20in%20Organizational%20Management%23%20program%20may%20pursue%20the%20following%20careers.""></iframe><script type=""text/javascript"" src=""https://widget.lightcastcc.com/scripts.js""></script>",,,
